Olivolja,49,Skafferi,"Denna välbalanserade och milda extra virgin olivolja är ett måste i varje kök. Fullproppad med näringsämnen och antioxidanter raka vägen från naturen. Tillsätt den till din favoritsallad eller använd den när du lagar smarriga rätter på räddad mat. Våra By Motatos-produkter är på pricken felfria och inte i närheten av att närma sig sitt bäst före-datum. Därför är de inte rabatterade men fortfarande väldigt prisvärda, vilket gör dem till ett bra komplement till vårt räddade sortiment.",C:\Users\Leotrim Jusufi\Desktop\Images\Olivolja.jfif
Gulaschsoppa,14.75,Skafferi,Traditionell ungersk gulaschsoppa med nötkött.,C:\Users\Leotrim Jusufi\Desktop\Images\Gulasch.jfif
Protein Shake,15,Träning,"FAST Protein Shake Karamell är en drickbar delikatess med en rik kolasmak, utan tillsatt socker och laktos.",C:\Users\Leotrim Jusufi\Desktop\Images\ProteinShake.jfif
Proteinbar 24-pack,229,Träning,Proteinbar med skak av Vit choklad och karamell. Ett nyttigare alternativ till en chokladbar eller för att fylla på med energi efter träning. 33% protein.,C:\Users\Leotrim Jusufi\Desktop\Images\Proteinbar.jfif
Marabou Mjölkchoklad,20,Godis,Marabous klassiska mjölkchoklad i king size. ,C:\Users\Leotrim Jusufi\Desktop\Images\Marabou.jfif
Estrella Grillchips,5,Snacks,"Dessa chips har gått igenom och klarat Estrellas höga kvalitetskrav på smak och hållbarhet. Så varför har de hamnat hos oss? Jo, dessa chips har haft oturen att få skönhetsfläckar! Detta påverkar självklart inte kvaliteten eller smaken, men har istället gett chipsen en unik look som kanske inte säljer i dagligvaruhandeln. Dessa skönhetsfel har uppstått på grund av ojämnt tryck på potatisen i produktionsprocessen.
Hjälp oss rädda unika chips med bruna fläckar, eller som vi kallar det, skönhetsfläckar!",C:\Users\Leotrim Jusufi\Desktop\Images\Grillchips.jfif
Festis Guanabana & Ananas,10,Dryck,Läskande fruktdryck utan kolsyra med smak av guanabana och ananas.,C:\Users\Leotrim Jusufi\Desktop\Images\Festis.jfif
Zingo Apelsin,5,Dryck,Zingo Apelsin är en kolsyrad läskedryck med fräsch smak av apelsin. En svensk klassiker som är älskad av barn i alla åldrar sedan den introducerades på 1950-talet. Zingo Apelsin bör serveras väl kyld.,C:\Users\Leotrim Jusufi\Desktop\Images\Zingo.jfif
Soft Tortilla 8-pack,11.66,Bröd,"Mjukt tortillabröd gjord på vete i klimatsmart återförslutningsbar förpackning. Tro, hopp och tacos Frankful står för ""frank, honest and hopeful"". Vi är det klimatsmarta varumärket med övertygelsen att vi kan lösa klimatfrågan om vi gör det tillsammans. Nu flyttar vi in i tacohyllan med sånt som är gott, både för klimat och smaklökar. Med Frankful kan du bjuda både kompisar, familj och klimat på en otrolig tacokväll; växtbaserad tacofärs, vegansk ost, taco-krydda, tacosåser, tortilla wraps, tortilla crisps och vegansk ostdipp. 100% växtbaserat och noga utvecklat för att lämna lågt avtryck på klimatet och starkt avtryck på smaksinnet. Vi gör det lite enklare att äta gott och samtidigt göra skillnad för klimatet. Framtiden är SPEC-TACO-LAR!",C:\Users\Leotrim Jusufi\Desktop\Images\Tortilla.jfif
Brödpinnar,15,Bröd,Grissini brödpinnar som passar till att doppa i tapenade eller annan typ av dip .,C:\Users\Leotrim Jusufi\Desktop\Images\Brödpinnar.jfif
